freq	hhtyp	incgrp	unit	geo\TIME_PERIOD	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
A	TOTAL	A_MD60	PC	XK	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.2	NaN	NaN	NaN	NaN	NaN	NaN
A	TOTAL	B_MD60	PC	AL	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.4	44.1	53.8	57.5	73.0	NaN	NaN	NaN
A	TOTAL	B_MD60	PC	AT	7.0	5.2	6.0	7.7	9.1	10.0b	7.8	9.0	8.6	7.7	8.3	7.7	8.0	8.7	9.5	4.8	4.9	4.2	4.6	4.8	9.3	NaN
A	TOTAL	B_MD60	PC	BE	11.8	9.9	29.0	31.0	32.8	17.0	15.0	16.2	20.9	18.7	18.4	18.3	14.8	16.2	20.1	18.5	13.2b	12.6	10.5	12.0	13.8	12.5
A	TOTAL	B_MD60	PC	BG	NaN	NaN	79.0	79.0	82.1	81.4	80.2	83.3	68.9	70.0	69.7	66.0b	66.8	61.9b	59.5	56.0	51.1	49.2	42.6	42.7	40.4	37.2
A	TOTAL	B_MD60	PC	CH	NaN	NaN	NaN	NaN	9.4	8.4	11.1	11.0	1.4	1.0	0.7	2.6b	0.8	2.0	0.7	1.8	0.9	0.3	1.7	0.9	0.8	NaN
A	TOTAL	B_MD60	PC	CY	NaN	NaN	51.3	56.3	63.0	48.1b	37.8	40.1	46.3	50.6	51.0	47.5	49.2	49.0	46.8	45.4	47.5	41.6	50.0	50.6	43.6	42.5b
A	TOTAL	B_MD60	PC	CZ	NaN	NaN	19.5	20.2	17.3	16.8	12.7	11.2	13.4	15.3	14.6	15.6	13.5	13.0	9.2	8.9	9.0	6.8	7.7	7.3	16.0	14.4
A	TOTAL	B_MD60	PC	DE	NaN	NaN	13.7	15.0	14.9	17.2	16.2	15.7	16.8	14.8	16.5	13.3	12.7	12.4	9.8	8.9	8.2	16.0b	7.8	13.7	14.3	12.0
A	TOTAL	B_MD60	PC	DK	16.2	14.2	14.5	16.4	18.2	6.0	2.8	4.9	7.4	8.4	10.2	5.8	12.7	7.9	6.6	7.8	8.4	10.9	8.9	9.4	14.1	7.8
A	TOTAL	B_MD60	PC	EA19	NaN	NaN	20.5	21.0	20.0	19.0	19.1	20.2	21.9	24.2	23.8	23.8	23.0	21.6	19.5	19.2	18.5	18.3	16.6	NaN	NaN	NaN
A	TOTAL	B_MD60	PC	EA20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.7	23.0	21.6	19.5	19.2	18.5	18.3	16.6	20.6	23.2	NaN
A	TOTAL	B_MD60	PC	EE	NaN	10.5	5.9	5.0	8.3	3.0	4.7	9.0	8.1	9.6	5.7	3.7b	6.1	6.1	8.1	4.2	6.2	5.5	3.2	5.9	8.1	6.7
A	TOTAL	B_MD60	PC	EL	37.4	32.0	30.3	24.7	29.4	29.9	36.8	38.4	38.8	47.6	48.4	52.6	50.9	52.5	45.3	41.2	34.4	39.2	36.8	38.9	39.8	NaN
A	TOTAL	B_MD60	PC	ES	NaN	17.1	17.1	21.4	17.2	13.1	15.2b	15.6	13.2	18.9	15.6	23.5	23.3	23.2	19.4	20.8	19.6	22.3	27.7	30.1	34.3	31.4
A	TOTAL	B_MD60	PC	EU	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.0	24.5	24.1	23.5	22.7	21.0	18.4	17.9	17.2e	NaN	NaN	NaN	NaN	NaN
A	TOTAL	B_MD60	PC	EU27_2007	NaN	NaN	NaN	NaN	22.9	20.9	20.5	21.1	22.0	24.5	24.1	23.5	22.7	21.0	18.4	17.9	17.2e	NaN	NaN	NaN	NaN	NaN
A	TOTAL	B_MD60	PC	EU27_2020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.4e	23.4e	25.2e	24.5e	23.9e	23.3e	21.8e	19.3e	19.0e	18.2e	18.1	16.4	20.1	22.2	NaN
A	TOTAL	B_MD60	PC	EU28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.1	22.0	24.5	24.1	23.5	22.7	21.0	18.4	17.9	17.2e	NaN	NaN	NaN	NaN	NaN
A	TOTAL	B_MD60	PC	FI	NaN	3.6	4.0	4.8	2.6	4.3	3.5	3.5	3.8	3.8	2.8	3.3	3.7	3.8	2.3	3.1	4.3	2.6	4.1	3.9	3.8	5.7
A	TOTAL	B_MD60	PC	FR	NaN	16.5	12.9	15.7	12.8	11.5	15.0	15.3	16.9	15.2	17.7	15.0	16.3	14.0	15.0	15.6	17.8	18.5b	15.5	23.5b	25.1	NaN
A	TOTAL	B_MD60	PC	HR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.9	22.5	23.9	24.0	24.3	23.7	21.7	20.3	21.2	19.1	17.5	18.2	21.9	18.1	13.4
A	TOTAL	B_MD60	PC	HU	NaN	NaN	33.9	26.0	23.7	21.1	16.8	23.2	29.4	35.1	34.0	29.4	24.7	22.7	15.0	19.9	14.0	14.9	16.3	10.0	19.3	16.8
A	TOTAL	B_MD60	PC	IE	8.2	7.8	11.4	10.4	9.9	7.6	10.3	16.0	12.5	16.2	19.5	17.1	18.6	14.8	12.7	11.6	13.6b	6.8b	8.3	12.3	13.3	NaN
A	TOTAL	B_MD60	PC	IS	NaN	11.5	12.6	13.4	13.2	2.6b	1.5	2.2	3.7	3.5	2.7	4.4	2.9	3.6	1.9	2.6	4.9	0.6	NaN	NaN	NaN	NaN
A	TOTAL	B_MD60	PC	IT	NaN	25.5	26.5	24.4	25.0	26.1	26.3	28.0	36.1	44.0	40.4	38.3	35.9	32.4	29.1	30.0	26.3	17.2	17.0	17.6	21.6	18.4
A	TOTAL	B_MD60	PC	LT	NaN	NaN	45.1	36.9	33.9	30.9	32.4	34.1	40.1	38.2	34.0	34.7	39.4	29.8	35.6	35.5	38.4	33.6	30.9	28.8	35.1b	NaN
A	TOTAL	B_MD60	PC	LU	3.3	3.9	3.2	2.9	2.3	3.0	1.1	1.7	2.2	2.2	4.5	2.0	3.3	4.1b	4.2	5.8	4.5	5.8b	5.1b	5.4b	4.4	5.5
A	TOTAL	B_MD60	PC	LV	NaN	NaN	44.7	38.9	40.1	33.0	28.9	33.7	40.8	35.1	35.5	31.0	29.1	22.7	20.3	15.4	15.9	13.2	12.4	18.3	15.8	13.7
A	TOTAL	B_MD60	PC	ME	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.1	12.5	17.9	19.2	16.5	36.0	27.3	33.1	29.4	29.6	NaN	NaN
A	TOTAL	B_MD60	PC	MK	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.0	48.9	45.9	41.2	51.0	44.2	39.0	33.8	37.7	46.7	39.6	NaN	NaN	NaN	NaN
A	TOTAL	B_MD60	PC	MT	NaN	NaN	17.2	16.8	16.5	13.9	17.5	25.1	28.1	32.1	35.5	36.4	27.4	13.3	15.8	15.8	13.9	14.9	18.6	14.1	12.7	NaN
A	TOTAL	B_MD60	PC	NL	NaN	NaN	9.6	7.2	4.6	4.7	4.3	9.6	6.6	8.7	6.3	9.0	8.2	7.9b	7.8	6.3	11.3	8.8	7.6	14.9	21.6	19.5
A	TOTAL	B_MD60	PC	NO	6.3	7.0	4.4	4.4	2.3	3.3	2.4	2.8	4.3	2.3	3.6	2.3	2.4	4.5	3.9	4.9	2.8	3.8	4.5b	3.4	5.6	5.3
A	TOTAL	B_MD60	PC	PL	NaN	NaN	51.2	46.1	39.3	34.4b	33.2	30.7	28.7	27.6	23.8	20.7	18.7	16.7	15.1	13.7	11.5	8.9	8.2	10.3	9.8	NaN
A	TOTAL	B_MD60	PC	PT	NaN	56.9	62.1	60.6	64.9	56.0	44.3	49.7	44.8	43.1	44.6	47.5	43.3	42.7	38.9	37.0	38.0	33.8	27.9b	35.8	37.3	30.9
A	TOTAL	B_MD60	PC	RO	NaN	NaN	NaN	NaN	46.0	33.3	29.8	26.9	26.7	25.8	25.6	24.6	27.3	25.6	17.4	18.2	19.9	23.4	22.0	29.5	25.1	20.8
A	TOTAL	B_MD60	PC	RS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.0	27.2	25.2	21.6	21.7	19.4	21.1	28.7	29.0	29.2	29.1	NaN
A	TOTAL	B_MD60	PC	SE	NaN	3.9	2.3	5.0	3.4	3.5b	4.6	5.3	4.3	4.0	3.9	2.9	2.5	4.6	5.3	4.6	4.9	6.9	3.3	5.5	8.4	7.8
A	TOTAL	B_MD60	PC	SI	NaN	NaN	6.6	8.7	11.4	14.3	11.5	13.1	12.4	17.3	13.1	15.4	13.6	14.2	11.5	11.4	8.2	9.8	5.5	7.3	13.9	9.6
A	TOTAL	B_MD60	PC	SK	NaN	NaN	18.9	19.3	14.7	13.8	12.1	15.6	10.4	13.6	16.1	22.4	17.8	17.0	17.3	15.8	28.6	19.2	18.8	25.2	29.8	NaN
A	TOTAL	B_MD60	PC	TR	NaN	NaN	NaN	61.2	64.8	61.4	55.9	NaN	56.3	59.9	58.7	36.1	45.8	47.6	46.4	44.3	42.4	42.6	44.5	44.7	41.3	NaN
A	TOTAL	B_MD60	PC	UK	NaN	NaN	11.0	9.2	9.1	11.5	11.0	11.9	11.4	19.2b	21.7	20.2	18.6	14.2	12.4b	11.8	NaN	NaN	NaN	NaN	NaN	NaN
A	TOTAL	B_MD60	PC	XK	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.1	NaN	NaN	NaN	NaN	NaN	NaN
A	TOTAL	TOTAL	PC	AL	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.7	33.3	36.8	35.8	37.7	NaN	NaN	NaN
A	TOTAL	TOTAL	PC	AT	2.9	2.3	3.2	3.8	2.6	3.9b	2.9	3.8	2.7	3.2	2.7	3.2	2.6	2.7	2.4	1.6	1.8	1.5	1.7	2.7	3.9	NaN
A	TOTAL	TOTAL	PC	BE	6.0	6.4	14.1	14.5	14.6	6.4	5.1	5.6	7.1	6.6	5.8	5.4	5.2	4.8	5.8	5.2	3.9b	4.1	3.5	5.1	6.0	4.9
A	TOTAL	TOTAL	PC	BG	NaN	NaN	69.5	69.5	67.4	66.3	64.2	66.5	46.3	46.5	44.9	40.5b	39.2	39.2b	36.5	33.7	30.1	27.5	23.7	22.5	20.7	19.0
A	TOTAL	TOTAL	PC	CH	NaN	NaN	NaN	NaN	6.9	6.9	7.6	7.3	0.7	0.4	0.4	0.7b	0.6	0.6	0.4	0.6	0.3	0.2	0.4	0.4	0.5	NaN
A	TOTAL	TOTAL	PC	CY	NaN	NaN	33.7	33.8	34.6	29.2b	21.7	27.3	26.6	30.7	30.5	27.5	28.3	24.3	22.9	21.9	21.0	20.9	19.4	19.2	16.9	14.6b
A	TOTAL	TOTAL	PC	CZ	NaN	NaN	9.3	8.9	6.1	6.0	5.2	5.2	6.4	6.7	6.2	6.1	5.0	3.8	3.1	2.7	2.8	2.2	2.2	2.9	6.1	4.9
A	TOTAL	TOTAL	PC	DE	NaN	NaN	4.6	5.5	5.4	5.9	5.5	5.0	5.2	4.7	5.3	4.9	4.1	3.7	3.3	2.7	2.5	7.0b	3.3	6.7	8.2	6.2
A	TOTAL	TOTAL	PC	DK	10.5	10.1	8.9	9.4	10.3	1.7	1.5	1.9	2.3	2.5	3.8	2.9	3.6	2.7	2.7	3.0	2.8	3.0	2.8	5.1	6.9	4.4
A	TOTAL	TOTAL	PC	EA19	NaN	NaN	8.9	8.9	8.3	8.0	7.7	8.0	9.2	10.4	10.1	10.2	9.4	8.8	8.0	7.6	6.9	7.9	7.1	NaN	NaN	NaN
A	TOTAL	TOTAL	PC	EA20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.1	9.4	8.8	8.0	7.6	6.9	7.8	7.1	9.7	11.3	NaN
A	TOTAL	TOTAL	PC	EE	NaN	5.8	2.6	2.3	3.6	1.1	1.7	3.1	3.0	4.2	2.9	1.7b	2.0	2.7	2.9	2.3	2.5	2.7	2.0	3.4	4.1	3.6
A	TOTAL	TOTAL	PC	EL	17.4	16.8	15.7	12.0	13.8	15.4	15.7	15.4	18.6	26.1	29.5	32.9	29.2	29.1	25.7	22.7	17.9	17.1	17.5	18.7	19.2	NaN
A	TOTAL	TOTAL	PC	ES	NaN	9.5	9.4	10.1	8.0	5.9	7.2b	7.5	6.5	9.1	8.0	11.1	10.6	10.1	8.0	9.1	7.5	10.9	14.2	17.1	20.8	17.5
A	TOTAL	TOTAL	PC	EU	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.8	10.8	10.7	10.3	9.4	8.7	7.8	7.3	6.7e	NaN	NaN	NaN	NaN	NaN
A	TOTAL	TOTAL	PC	EU27_2007	NaN	NaN	NaN	NaN	10.9	10.1	9.3	9.5	9.8	10.8	10.8	10.3	9.4	8.7	7.8	7.3	6.7e	NaN	NaN	NaN	NaN	NaN
